,date,utctime,num_hospital,S_start_lat,S_start_long,S_end_lat,S_end_long,S_distance(m),S_duration(s),SE_start_lat,SE_start_long,SE_end_lat,SE_end_long,SE_distance(m),SE_duration(s),E_start_lat,E_start_long,E_end_lat,E_end_long,E_distance(m),E_duration(s),NE_start_lat,NE_start_long,NE_end_lat,NE_end_long,NE_distance(m),NE_duration(s),N_start_lat,N_start_long,N_end_lat,N_end_long,N_distance(m),N_duration(s),NW_start_lat,NW_start_long,NW_end_lat,NW_end_long,NW_distance(m),NW_duration(s),W_start_lat,W_start_long,W_end_lat,W_end_long,W_distance(m),W_duration(s),SW_start_lat,SW_start_long,SW_end_lat,SW_end_long,SW_distance(m),SW_duration(s)
0,2018-06-04 23:06:36,1528167996.5560548,2,39.441611,117.367209,39.591611,117.367209,24219,2227,39.491611,117.317209,39.541611,117.417209,20760,2809,39.516611,117.317209,39.516611,117.417209,12761,1171,39.541611,117.317209,39.491611,117.417209,14486,1253,39.591611,117.367209,39.441611,117.367209,24219,2338,39.541611,117.417209,39.491611,117.317209,20755,2867,39.516611,117.417209,39.516611,117.317209,14018,1401,39.491611,117.417209,39.541611,117.317209,14467,1358
1,2018-06-04 23:06:42,1528168002.5526533,8,39.741611,117.417209,39.891611,117.417209,19720,1732,39.791611,117.367209,39.841611,117.467209,16475,2254,39.816611,117.367209,39.816611,117.467209,24544,2189,39.841611,117.367209,39.791611,117.467209,21075,2080,39.891611,117.417209,39.741611,117.417209,19709,1785,39.841611,117.467209,39.791611,117.367209,16461,2268,39.816611,117.467209,39.816611,117.367209,24409,2149,39.791611,117.467209,39.841611,117.367209,21065,2028
2,2018-06-04 23:06:48,1528168008.54836,8,39.841611,117.367209,39.991611,117.367209,19574,1413,39.891611,117.317209,39.941611,117.417209,27939,1703,39.916611,117.317209,39.916611,117.417209,10695,1321,39.941611,117.317209,39.891611,117.417209,13905,1785,39.991611,117.367209,39.841611,117.367209,20141,1532,39.941611,117.417209,39.891611,117.317209,18200,1264,39.916611,117.417209,39.916611,117.317209,10696,1399,39.891611,117.417209,39.941611,117.317209,13907,1826
3,2018-06-04 23:06:54,1528168014.450558,1,40.141611,117.417209,40.291611,117.417209,20622,1600,40.191611,117.367209,40.241611,117.467209,23756,2313,40.216611,117.367209,40.216611,117.467209,28638,2878,40.241611,117.367209,40.191611,117.467209,33492,3933,40.291611,117.417209,40.141611,117.417209,20622,1755,40.241611,117.467209,40.191611,117.367209,23759,2404,40.216611,117.467209,40.216611,117.367209,28589,2643,40.191611,117.467209,40.241611,117.367209,33508,3997
4,2018-06-04 23:07:00,1528168020.517149,1,40.241611,117.367209,40.391611,117.367209,35280,5117,40.291611,117.317209,40.341611,117.417209,49759,4866,40.316611,117.317209,40.316611,117.417209,50476,4489,40.341611,117.317209,40.291611,117.417209,42673,4599,40.391611,117.367209,40.241611,117.367209,35131,5407,40.341611,117.417209,40.291611,117.317209,49769,5071,40.316611,117.417209,40.316611,117.317209,42125,4396,40.291611,117.417209,40.341611,117.317209,42536,4610
5,2018-06-04 23:07:06,1528168026.6786807,0,40.541611,117.417209,40.691611,117.417209,119091,14182,40.591611,117.367209,40.641611,117.467209,24010,3963,40.616611,117.367209,40.616611,117.467209,123636,19589,40.641611,117.367209,40.591611,117.467209,113444,13856,40.691611,117.417209,40.541611,117.417209,126345,13760,40.641611,117.467209,40.591611,117.367209,24010,3886,40.616611,117.467209,40.616611,117.367209,122807,19690,40.591611,117.467209,40.641611,117.367209,113384,14075
6,2018-06-04 23:07:14,1528168034.7394702,0,40.641611,117.367209,40.791611,117.367209,37406,2439,40.691611,117.317209,40.741611,117.417209,40102,4119,40.716611,117.317209,40.716611,117.417209,15701,3132,40.741611,117.317209,40.691611,117.417209,20595,4331,40.791611,117.367209,40.641611,117.367209,37845,2836,40.741611,117.417209,40.691611,117.317209,40626,4142,40.716611,117.417209,40.716611,117.317209,15701,3132,40.691611,117.417209,40.741611,117.317209,20595,4325
7,2018-06-04 23:07:20,1528168040.7342489,1,40.941611,117.417209,41.091611,117.417209,31287,4027,40.991611,117.367209,41.041611,117.467209,16326,2447,41.016611,117.367209,41.016611,117.467209,14086,2046,41.041611,117.367209,40.991611,117.467209,13375,1088,41.091611,117.417209,40.941611,117.417209,31287,4279,41.041611,117.467209,40.991611,117.367209,15785,2500,41.016611,117.467209,41.016611,117.367209,13545,2102,40.991611,117.467209,41.041611,117.367209,13377,1165
8,2018-06-04 23:07:26,1528168046.6743343,1,40.941611,117.317209,41.091611,117.317209,30140,2544,40.991611,117.267209,41.041611,117.367209,26887,2896,41.016611,117.267209,41.016611,117.367209,23700,2537,41.041611,117.267209,40.991611,117.367209,25618,3417,41.091611,117.317209,40.941611,117.317209,30140,2636,41.041611,117.367209,40.991611,117.267209,26887,2920,41.016611,117.367209,41.016611,117.267209,23698,2564,40.991611,117.367209,41.041611,117.267209,25616,3442
9,2018-06-04 23:07:32,1528168052.745287,0,40.941611,117.217209,41.091611,117.217209,69281,7746,40.991611,117.167209,41.041611,117.267209,44237,5314,41.016611,117.167209,41.016611,117.267209,78624,9009,41.041611,117.167209,40.991611,117.267209,85880,10282,41.091611,117.217209,40.941611,117.217209,69277,7861,41.041611,117.267209,40.991611,117.167209,44235,5251,41.016611,117.267209,41.016611,117.167209,78580,8679,40.991611,117.267209,41.041611,117.167209,85789,9613
